Station name;Northing;Easting;Elevation (m asl);Start date;Last visit;Project
KPC_L;79.9108;-24.0832;370;17-07-2008;2012;PROMICE
KPC_U;79.8345;-25.1665;870;17-07-2008;2012;PROMICE
SCO_L;72.224;-26.818;470;21-07-2008;2014;PROMICE
SCO_U;72.3937;-27.2383;980;21-07-2008;2014;PROMICE
MIT;65.6923;-37.8277;450;03-05-2009;2015;PROMICE
TAS_L;65.6403;-38.8987;260;23-08-2007;2015;PROMICE
TAS_U;65.6978;-38.8668;570;15-08-2007;13-08-2015;PROMICE
TAS_A;65.7797;-38.9008;890;28-08-2013;2015;PROMICE/REFREEZE
QAS_L;61.0308;-46.8488;280;24-08-2007;2015;PROMICE
QAS_U;61.1758;-46.819;900;07-08-2008;2015;PROMICE
QAS_A;61.243;-46.7328;1000;20-08-2012;24-08-2015;PROMICE/REFREEZE
NUK_L;64.4822;-49.5325;540;20-08-2007;2015;PROMICE/IMGLACO
NUK_U;64.511;-49.2663;1130;20-08-2007;2015;PROMICE/IMGLACO
NUK_K;64.1623;-51.3587;710;28-07-2014;2015;Asiaq/PROMICE
NUK_N;64.9452;-49.885;920;25-07-2010;25-07-2014;PROMICE/IMGLACO
KAN_B;67.1252;-50.1832;350;13-04-2011;2015;GRASP/PROMICE
KAN_L;67.0957;-49.9485;680;01-09-2008;2015;GAP/PROMICE
KAN_M;67.0667;-48.8327;1270;02-09-2008;2015;GAP/PROMICE
KAN_U;67.0003;-47.0243;1840;04-04-2009;2015;GAP/PROMICE
UPE_L;72.8932;-54.2953;220;17-08-2009;2015;PROMICE
UPE_U;72.8883;-53.5715;940;17-08-2009;2015;PROMICE
THU_L;76.3998;-68.2662;570;09-08-2010;2014;PROMICE
THU_U;76.4197;-68.146;770;09-08-2010;2014;PROMICE
CEN;77.1826;-61.1127;1886;09-07-2017;2020;PROMICE/CC_CLIMATE
EGP;75.6;-35.9;2700; 2016; 2020;PROMICE
