;date;site;latitude;longitude;elevation;depthOfTemperatureObservation;temperatureObserved;reference;note
0;05-09-2013;B 4-275;73.16666667;-41.1;3071.4;8.5;-28.81;Polashenski et al., 2013;
1;05-10-2013;B4-225;73.87333333;-41.8;2996.2;6.5;-30.4;Polashenski et al., 2013;
2;05-11-2013;B 4-175;74.59;-42.55;2949.3;7;-31.11;Polashenski et al., 2013;
3;05-12-2013;B 4-100;75.63666667;-43.95;2860.4;10;-30.74;Polashenski et al., 2013;
4;13-05-2013;B 4-050;76.31666667;-45.1;2781.3;8;-31.52;Polashenski et al., 2013;
5;14-05-2013;B 4-000;76.965;-46.98333333;2664.2;10.5;-29.66;Polashenski et al., 2013;
6;15-05-2013;B 2-200;77.05833333;-49.6;2540.7;6;-29.6;Polashenski et al., 2013;
7;17-05-2013;B 2-175;77.05666667;-51.33333333;2445.6;10;-26.25;Polashenski et al., 2013;
8;19-05-2013;B 2-125;77.04166667;-54.51666667;2198.7;12.5;-23.87;Polashenski et al., 2013;
9;20-05-2013;B 2-070;77.09333333;-57.81833333;1971.3;10.5;-21.9;Polashenski et al., 2013;
10;21-05-2013;B 2-020;77.21666667;-61.02166667;1905.8;9.5;-23;Polashenski et al., 2013;
11;22-05-2013;B 1-050;77.15;-62.9;1671.7;12;-19.65;Polashenski et al., 2013;
12;23-05-2013;B 1-010;76.80333333;-64.89;1466.2;14;-15.53;Polashenski et al., 2013;
13;24-05-2013;B 1A-20;76.92;-62;1688.5;9.5;-17.94;Polashenski et al., 2013;
14;25-05-2013;R1;78;-58;2080;9;-25.8;Polashenski et al., 2013;
15;26-05-2013;R2;79.41666667;-55;1725;12;-23.91;Polashenski et al., 2013;
16;27-05-2013;R3;80;-50;1892;7.5;-25.92;Polashenski et al., 2013;
17;28-05-2013;R4;78.5;-50;2291.4;5;-28.04;Polashenski et al., 2013;
18;01-07-1951;Station Centrale;70.9167;-40.6333;3009;8;-28;Diamond, 1960;
19;01-07-1955;B4-325;72.4667;-40.3333;3151;10;-29.5;Benson, 1962;
20;01-07-1955;B4-350;72.1167;-39.9333;3154;10;-29.5;Benson, 1962;
21;01-07-1955;B4-300;72.815;-40.75;3137;10;-29.7;Benson, 1962;
22;01-07-1955;B4-375;71.77;-39.6;3155;10;-29;Benson, 1962;
23;01-07-1955;B4-275;73.1667;-41.1;3102;10;-29.4;Benson, 1962;
24;01-07-1955;B4-400;71.425;-39.3333;3140;10;-29.2;Benson, 1962;
25;01-07-1955;B4-250;73.5167;-41.4167;3065;10;-30;Benson, 1962;
26;01-07-1955;B5-0;71.0833;-38.9667;3141;10;-29.8;Benson, 1962;
27;01-07-1955;B4-425;71.0833;-38.9667;3141;10;-29.8;Benson, 1962;
28;01-07-1955;B5-20;71;-39.6667;3083;10;-27.7;Benson, 1962;
29;01-07-1955;B4-225;73.8733;-41.8;3033;10;-29.8;Benson, 1962;
30;01-07-1955;B5-40;70.8967;-40.7017;3000;10;-27.2;Benson, 1962;
31;01-07-1955;B4-200;74.2217;-42.1667;3016;10;-30.3;Benson, 1962;
32;01-07-1957;Dumont Tunnel;71.47;-33.35;2883;10;-28.4;de Quervain, 1969;
33;01-07-1959;Station Centrale;70.9167;-40.6333;3009;10;-27.1;de Quervain, 1969;
34;01-07-1959;Jarl-Joset Station;71.47;-33.35;2883;10;-27.8;de Quervain, 1969;
35;01-07-1959;Crete;71.1204;-37.3164;3224;10;-30.1;de Quervain, 1969;
36;01-07-1960;Station Centrale;70.9167;-40.6333;3009;10;-27.1;de Quervain, 1969;
37;01-07-1960;Jarl-Joset Station;71.47;-33.35;2883;10;-27.5;de Quervain, 1969;
38;01-07-1960;Crete;71.1204;-37.3164;3224;9;-29.8;de Quervain, 1969;
39;01-07-1964;Station Centrale;70.9167;-40.6333;3009;10;-27.4;de Quervain, 1969;
40;01-07-1964;Jarl-Joset Station;71.47;-33.35;2883;10;-27.5;de Quervain, 1969;
41;01-07-1964;Crete;71.1204;-37.3164;3224;11;-29.7;de Quervain, 1969;
42;01-07-1974;Crete;71.1204;-37.3164;3224;10;-30.4;Clausen et al., 1988;
44;01-07-1977;North Central;74.6213;-39.6017;2966;10;-32;Clausen et al., 1988;
45;01-07-1984;Crete B;70.6508;-37.4788;3185;10;-29.8;Clausen et al., 1988;
46;01-07-1984;Crete C;70.677;-38.787;3175;10;-29.1;Clausen et al., 1988;
47;01-07-1984;Crete D;70.6398;-39.6178;3060;10;-28.3;Clausen et al., 1988;
48;01-07-1985;Crete A;70.6349;-35.82;3140;10;-29.4;Clausen et al., 1988;
49;01-07-1985;Crete H;70.8651;-35.8381;3153;10;-29.5;Clausen et al., 1988;
50;01-07-1985;Crete E;71.7593;-35.8505;3132;10;-30.4;Clausen et al., 1988;
51;01-07-1985;Crete F;71.492;-35.8812;3136;10;-30.4;Clausen et al., 1988;
52;01-07-1985;Crete G;71.155;-35.8377;3143;10;-30.1;Clausen et al., 1988;
53;01-07-1989;GISP2;72.3;-38;3260;12;-31.4;Alley and Koci, 1990;
54;01-07-1990;T31;70.9167;-43.0167;2790;15;-27.5;Fischer et al., 1995;
55;01-07-1990;T41;71.0833;-37.9167;3202;15;-29.5;Fischer et al., 1995;
56;01-07-1992;T99;72.5833;-37.6333;3277;15;-31.6;Fischer et al., 1995;
57;01-07-1992;NST08;71.8667;-37.7667;3242;15;-31;Fischer et al., 1995;
58;01-07-1992;T43;71.1167;-37.3167;3223;15;-30.1;Fischer et al., 1995;
59;01-07-1992;T47;71.2;-35.95;3152;15;-29.9;Fischer et al., 1995;
60;01-07-1992;T53;71.35;-32.4667;2772;15;-28;Fischer et al., 1995;
64;01-07-1994;GRIP;72.5833;-37.6333;3277;11.1;-31.704;Johnsen et al.  1995;depth taken relative to 1990 surface
41328;01-07-2016;GL14-South-A;67.181076;-49.570013;978;10;-0.33;Harper 2017;Date drilled: 7/17/14 Depth: 674
41329;01-07-2016;GL14-South-B;67.181044;-49.56972;977;21;-0.63;Harper 2017;Date drilled: 7/19/14 Depth: 677
41330;01-07-2016;GL14-West;67.182086;-49.572379;978;11;-0.25;Harper 2017;Date drilled: 7/22/14 Depth: 661
41331;01-07-2016;15-C-A;67.182104;-49.569504;979;10;-0.285;Harper 2017;Date drilled: 42162 Depth: 671
41332;01-07-2016;15-C-B;67.182013;-49.569493;978;10;-0.155;Harper 2017;Date drilled: 42223 Depth: 675
41333;01-07-2016;15-E-B;67.181866;-49.564025;980;10;-0.75;Harper 2017;Date drilled: 7/15/15 Depth: 665
41334;01-07-2016;15-N;67.183124;-49.566914;978;10;-0.5;Harper 2017;Date drilled: 7/17/15 Depth: 640
41335;01-07-2016;15-S;67.180939;-49.566663;979;10;-0.565;Harper 2017;Date drilled: 42315 Depth: 677
41336;01-07-2015;GL14-North;67.183071;-49.569698;977;13;-0.44;Harper 2017;Date drilled: 7/26/14 Depth: 641
41337;01-07-2015;GL14-South-A;67.181076;-49.570013;978;12;-0.38;Harper 2017;Date drilled: 7/17/14 Depth: 674
41338;01-07-2015;GL14-South-B;67.181044;-49.56972;977;11;-0.31;Harper 2017;Date drilled: 7/19/14 Depth: 677
41339;01-07-2015;GL14-West;67.182086;-49.572379;978;11;-0.25;Harper 2017;Date drilled: 7/22/14 Depth: 661
41340;12-04-2013;FA13-1;66.181;-39.044;1563;10;-0.9;Miller et al. 2020;in SUMup
41341;26-04-2015;FA15-1;66.362;-39.311;1664;10;-0.5;Miller et al. 2020;in SUMup
41342;09-08-2015;FA15-2;66.355;-39.178;1543;10;0.03;Miller et al. 2020;in SUMup
41343;28-04-2011;6_2011;77.13417954;-61.04342795;1898;9;-21.58666667;Hawley;
41344;02-05-2011;storm camp;77.34725;-56.57168333;2143;9;-24.46333333;Hawley;
41345;07-05-2011;11_2011;77.35958333;-47.14658333;2632;9;-28.73666667;Hawley;
41346;12-05-2011;14_2011;74.4223333;-39.2943333;2983;9;-29.68333333;Hawley;
0;31-07-1974;Summit;72.286;-37.9798;3259;10;-32;Clausen et al., 1988;
276;31-07-1997;Summit;72.5667;-38.5;3248;10;-31.1;Steffen and Box, 2001;
298;31-05-1999;Summit;72.57972;-38.50454;3254;10;-30.95324826;Steffen and Box, 2001, depth after Vandecrux et al. 2020;
299;30-06-1999;Summit;72.57972;-38.50454;3254;10;-30.92705381;Steffen and Box, 2001, depth after Vandecrux et al. 2020;
300;31-07-1999;Summit;72.57972;-38.50454;3254;10;-31.00876624;Steffen and Box, 2001, depth after Vandecrux et al. 2020;
301;31-08-1999;Summit;72.57972;-38.50454;3254;10;-31.17136172;Steffen and Box, 2001, depth after Vandecrux et al. 2020;
302;30-09-1999;Summit;72.57972;-38.50454;3254;10;-31.35078641;Steffen and Box, 2001, depth after Vandecrux et al. 2020;
303;31-10-1999;Summit;72.57972;-38.50454;3254;10;-31.38822972;Steffen and Box, 2001, depth after Vandecrux et al. 2020;
304;30-11-1999;Summit;72.57972;-38.50454;3254;10;-31.38401142;Steffen and Box, 2001, depth after Vandecrux et al. 2020;
305;31-12-1999;Summit;72.57972;-38.50454;3254;10;-31.26671854;Steffen and Box, 2001, depth after Vandecrux et al. 2020;
