,latitude,longitude,elevation,date,depthOfTemperatureObservation,temperatureObserved
0,76.72333333333333,-65.39,1310.0,1954-06-03 00:00:00,10.0,-17.0
1,76.80333333333333,-64.88666666666667,1418.0,1954-06-15 00:00:00,10.0,-19.7
2,76.89,-64.395,1486.0,1954-06-16 00:00:00,10.0,-20.3
3,76.96666666666667,-63.89,1519.0,1954-06-17 00:00:00,10.0,-20.9
4,77.055,-63.38,1570.0,1954-06-18 00:00:00,10.0,-21.5
5,77.14833333333333,-62.885,1630.0,1954-06-19 00:00:00,10.0,-23.1
6,77.02166666666666,-66.36666666666666,1720.0,1955-01-01 00:00:00,10.0,-24.0
7,76.92,-62.0,1660.0,1955-01-01 00:00:00,10.0,-22.5
8,77.23833333333333,-62.32833333333333,1704.0,1954-06-21 00:00:00,10.0,-23.0
9,77.23,-61.626666666666665,1788.0,1954-06-25 00:00:00,10.0,-23.6
10,77.21833333333333,-61.025,1834.0,1954-06-26 00:00:00,10.0,-23.9
11,77.18333333333334,-60.39333333333333,1887.0,1954-06-29 00:00:00,10.0,-24.2
12,77.17666666666666,-59.73833333333333,1885.0,1954-07-04 00:00:00,10.0,-23.7
13,77.15,-69.08333333333333,1877.0,1954-07-09 00:00:00,10.0,-23.5
14,77.135,-58.44166666666667,1905.0,1954-07-11 00:00:00,10.0,-24.0
15,77.10166666666667,-57.82833333333333,1919.0,1954-07-16 00:00:00,10.0,-23.8
16,77.065,-57.215,1944.0,1954-07-19 00:00:00,10.0,-24.0
17,77.02833333333334,-56.888333333333335,1959.0,1954-07-20 00:00:00,10.0,-24.6
18,77.05,-56.11666666666667,1992.0,1954-07-07 00:00:00,10.0,-24.0
19,77.0,-56.06666666666667,1992.0,1954-07-07 00:00:00,10.0,-24.0
20,77.18833333333333,-55.75,2140.0,1955-01-01 00:00:00,10.0,-24.7
21,77.18833333333333,-55.751666666666665,2140.0,1954-01-01 00:00:00,10.0,-24.7
22,77.04166666666667,-54.516666666666666,2152.0,1955-05-29 00:00:00,10.0,-26.6
23,77.06333333333333,-52.91666666666666,2273.0,1955-05-31 00:00:00,10.0,-27.4
24,77.05666666666667,-51.333333333333336,2392.0,1955-06-02 00:00:00,10.0,-28.4
25,77.17833333333333,-49.77,2458.0,1955-06-04 00:00:00,10.0,-29.6
26,77.3,-49.94,2441.0,1955-06-04 00:00:00,10.0,-28.7
27,77.06666666666666,-48.016666666666666,2536.0,1955-06-06 00:00:00,10.0,-31.1
28,76.965,-46.98333333333333,2616.0,1955-06-10 00:00:00,10.0,-30.7
29,76.63666666666667,-45.7,2674.0,1955-06-12 00:00:00,10.0,-31.0
30,76.31666666666666,-45.1,2720.0,1955-06-14 00:00:00,10.0,-30.7
31,75.985,-44.583333333333336,2749.0,1955-06-17 00:00:00,10.0,-31.0
32,75.63666666666667,-43.95,2778.0,1955-06-19 00:00:00,10.0,-30.6
33,75.29666666666667,-43.41666666666666,2821.0,1955-06-21 00:00:00,10.0,-30.9
34,74.94166666666666,-42.96666666666667,2851.0,1955-06-23 00:00:00,10.0,-30.6
35,74.59,-42.55,2873.0,1955-06-25 00:00:00,10.0,-30.2
36,74.22166666666666,-42.16666666666666,2918.0,1955-06-27 00:00:00,10.0,-30.3
37,73.87333333333333,-41.8,2940.0,1955-06-30 00:00:00,10.0,-29.8
38,73.51666666666667,-41.41666666666666,2972.0,1955-07-02 00:00:00,10.0,-30.0
39,73.16666666666667,-41.1,3003.0,1955-07-04 00:00:00,10.0,-29.4
40,72.815,-40.75,3046.0,1955-07-08 00:00:00,10.0,-29.7
41,72.46666666666667,-40.333333333333336,3104.0,1955-07-10 00:00:00,10.0,-29.5
42,72.11666666666666,-39.93333333333333,3128.0,1955-07-12 00:00:00,10.0,-29.5
43,71.77,-39.6,3131.0,1955-07-14 00:00:00,10.0,-29.0
44,71.425,-39.333333333333336,3126.0,1955-07-16 00:00:00,10.0,-29.2
45,71.08333333333333,-38.96666666666667,3123.0,1955-07-18 00:00:00,10.0,-29.8
46,71.0,-39.66666666666666,3072.0,1955-07-20 00:00:00,10.0,-27.7
47,70.90666666666667,-40.63333333333333,3005.0,1955-07-23 00:00:00,10.0,-27.5
48,70.775,-41.63333333333333,2882.0,1955-08-02 00:00:00,10.0,-25.8
