site,latitude,longitude
1-0,76.72333,-65.39
1-10,76.80333,-64.88667
1-20,76.89,-64.395
1-30,76.96667,-63.89
1-40,77.055,-63.38
1-50,77.14833,-62.885
1a-10,77.02167,-66.36667
1a-20,76.92,-62.0
2-0,77.23833,-62.32833
2-10,77.23,-61.62667
2-20,77.21833,-61.025
2-30,77.18333,-60.39333
2-40,77.17667,-59.73833
2-50,77.15,-69.08333
2-60,77.135,-58.44167
2-70,77.10167,-57.82833
2-80,77.065,-57.215
2-90,77.02833,-56.88833
2-100,77.05,-56.11667
2-120,77.18833,-55.75
2-125,77.04167,-54.51667
2-150,77.06333,-52.91667
2-175,77.05667,-51.33333
2-200,77.17833,-49.77
2-225,77.06667,-48.01667
4-0,76.965,-46.98333
4-25,76.63667,-45.7
4-50,76.31667,-45.1
4-75,75.985,-44.58333
4-100,75.63667,-43.95
4-125,75.29667,-43.41667
4-150,74.94167,-42.96667
4-175,74.59,-42.55
4-200,74.22167,-42.16667
4-225,73.87333,-41.8
4-250,73.51667,-41.41667
4-275,73.16667,-41.1
4-300,72.815,-40.75
4-325,72.46667,-40.33333
4-350,72.11667,-39.93333
4-375,71.77,-39.6
4-400,71.425,-39.33333
5-0,71.08333,-38.96667
5-20,71.0,-39.66667
5-40,70.90667,-40.63333
5-65,70.775,-41.63333
5-90,70.63,-42.61667
5-115,70.45167,-43.58333
5-140,70.3,-44.55
5-150,70.25,-44.96667
5-160,70.175,-45.36667
5-170,70.105,-45.73333
5-180,70.04,-46.13333
5-190,69.97667,-46.5
5-200,69.91667,-46.93333
5-210,69.87,-47.3
5-220,69.80167,-47.66667
5-230,69.73167,-48.05
0-35,76.51833,-66.38667
4-425,71.0833,-38.9667
1,77.23333,-62.33333
2,77.71667,-59.56667
3,78.2,-56.31667
4,78.61667,-53.0
5,79.01667,-49.13333
6,79.71667,-51.41667
7,80.38333,-54.05
8,80.75,-55.33333
9,79.46667,-44.31667
10,80.0,-39.63333
11,80.65,-39.63333
12,81.3,-39.73333
unnamed 70,77.98333,-52.5
unnamed 71,78.91667,-48.2
S-40,76.65,-62.15
S-30,76.78333,-61.88333
S-20,76.91667,-61.66667
S-10,77.04861,-61.39361
CenturyAstro,77.18139,-61.1425
N-8,77.28944,-61.16722
N-16,77.39361,-61.30167
N-25,77.52222,-61.46889
N-35,77.56333,-62.16722
N-44,77.58944,-62.74528
N-55,77.61806,-62.45139
HIRAN29,68.06667,-42.33333
59-0,66.57167,-47.2
59-26,66.46167,-46.23333
59-46,66.40333,-45.51667
59-66,66.31667,-44.8
59-86,66.22333,-44.13667
59-190,65.195,-43.78333
59-250,64.475,-42.95833
59-275,64.48667,-43.825
59-300,64.495,-44.68333
59-325,64.47167,-45.61667
59-350,64.45167,-46.575
59-375,64.43,-47.50833
59-425,63.71667,-47.32
59-475,63.19667,-46.30167
59-525,62.5,-46.0
59-550,62.21333,-45.65
59-575,62.01667,-45.03333
59-600,61.82667,-44.4
60-75,62.50833,-45.23333
60-115,62.21667,-45.06667
60-1-117,66.26667,-45.7
60-1-96,66.05,-45.15
60-1-75,65.85,-44.61667
60-1-50,65.55,-44.13333
60-1-00,65.21667,-43.0
unnamed 115,79.995,-39.63333
unnamed 116,80.03333,-35.56667
unnamed 117,80.0,-31.25
unnamed 118,79.81667,-24.38333
French Camp VI,69.7,-48.26667
CampCentury,77.1797,-61.1097
CampIII_78,69.722,-49.8
isotope drill 1,69.72,-50.1
isotope drill 2,69.718,-50.092
CampVI_50,69.6981,-48.2625
StationCentrale,70.92,-40.63
Isua_10,65.2093,-49.75
Isua_13,65.2069,-49.7456
Isua_14,65.2058,-49.7443
Isunnguata_13km-10,67.19158,-50.02945
Isunnguata_27km-12A,67.20422,-49.71793
Isunnguata_46km-11A,67.20143,-49.2888
Isunnguata_M1-10,67.16221,-50.06427
Isunnguata_M2-10B,67.16704,-50.06633
Store_R30_BH19c,70.57,-50.09
TD4_91a,69.53,-49.68
TD5_90,69.57,-49.3
Tuto_D-11,76.4113,-68.2873
FA_13,66.181,-39.0435
FA_15_1,66.3622,-39.3119
FA_15_2,66.3548,-39.1788
Dumont Tunnel,71.47,-33.35
Station Centrale,70.9167,-40.6333
Crete,71.1204,-37.3164
Summit,72.286,-37.9798
North Central,74.6213,-39.6017
Crete B,70.6508,-37.4788
Crete C,70.677,-38.787
Crete D,70.6398,-39.6178
Crete A,70.6349,-35.82
Crete H,70.8651,-35.8381
Crete E,71.7593,-35.8505
Crete F,71.492,-35.8812
Crete G,71.155,-35.8377
CEN,77.1826,-61.1127
EGP,75.6,-35.9
KAN_L,67.0957,-49.9485
KAN_M,67.0667,-48.8327
KAN_U,67.0003,-47.0243
KPC_L,79.9108,-24.0832
KPC_U,79.8345,-25.1665
NUK_L,64.4822,-49.5325
NUK_U,64.511,-49.2663
QAS_L,61.0308,-46.8488
QAS_U,61.1758,-46.819
SCO_L,72.224,-26.818
SCO_U,72.3937,-27.2383
TAS_A,65.7797,-38.9008
TAS_L,65.6403,-38.8987
THU_L,76.3998,-68.2662
THU_U,76.4197,-68.146
UPE_L,72.8932,-54.2953
UPE_U,72.8883,-53.5715
CP1,69.87975,-46.98667
NASA-U,73.84189,-49.49831
TUNU-N,78.01677,-33.99387
DYE-2,66.48001,-46.27889
Saddle,65.99947,-44.50016
SouthDome,63.14889,-44.81717
NASA-E,75.0,-29.99972
NASA-SE,66.4797,-42.5002
SwissCamp,69.56833,-49.31582
GITS,77.13781,-61.04113
Humboldt,78.5266,-56.8305
CP2,69.91333,-46.85472
NGRIP,75.09975,-42.33256
PET-ELA,80.08305,-58.07277
SDM,63.14898,-44.81738
NSE,66.47777,-42.49363
NEEM,77.44138,-51.08341
NSU,73.84056,-49.53154
15-N_2016,67.18312,-49.56691
GL14-North_2015,67.18307,-49.5697
KAN-U,67.00025,-47.023
EKT,66.9854,-44.394
EastGrip,75.62683,-35.9415
T4,69.81998,-47.4505
T3,69.7836,-47.67018
T2_08,69.75693,-47.88028
T1new,69.73802,-48.06097
H1,69.73908,-48.2403
G165,69.71978,-48.2674
H2,69.70617,-48.34497
H3,69.68743,-48.49967
H4,69.66018,-48.68945
H5,69.64372,-48.81594
T-11a,67.19518,-49.71952
T-11b,67.20155,-49.28906
T-14,67.18127,-49.56982
T-15a,67.18211,-49.56827
T-15b,67.18205,-49.56806
T-15c,67.18211,-49.56848
T-16,67.18147,-49.57025
L0,69.1523,-48.9193
Point A (GRIP Summit),72.58333,-37.63333
Point 1 (NST 8),71.87,-37.77167
"Point C (T 43, Crete)",71.12,-37.33
Point 3 (T 47),71.20333,-35.94667
Point 4 (T 50),71.3,-34.54833
"Point D (TA 53, Jarl Joset)",71.35667,-33.46
Point 5 (T 56),71.70333,-33.01
Point 6 (T 58),71.96667,-32.63333
"Point 7 (TA 61, Depot 420)",72.22333,-32.32
Point 8 (T 65),72.39833,-31.305
Point 9 (T 66),72.475,-30.765
Point 10 (T 67-68),72.505,-30.14833
Point 11 (T 69),72.50333,-29.58333
Point 12 (T 70),72.53833,-29.02
Point 13 (T 71 - CNN),72.555,-28.69333
Point 14 (CNN Camp),72.56667,-28.16667
Point 2 (NST 12),71.46833,-37.59167
200 km Randabstand,71.19006,-45.4299
Eismitte,71.183,-39.933
Q1201,77.49077,-69.25069
Q1204,77.51031,-69.13813
SIGMA-B,77.51819,-69.06214
SIGMA-A,78.05167,-67.62833
SIGMA-D,77.636,-59.12
BK5_1959,69.68649,-49.08499
2015 T-A4,75.689,-36.4821
2015 T-A5,75.62502,-35.98015
SiteJ,66.86495,-46.26514
NGT 36,77.48333,-47.46667
s5,67.08333,-50.1
s6,67.06667,-49.38333
s9,67.05,-48.21667
122,69.58849,-49.188
151,69.66899,-48.593
157,69.68338,-48.486
161,69.69721,-48.388
163,69.709,-48.3
165,69.72194,-48.21
Stake15,61.581,-45.102
Stake17,61.6,-45.009
Morris Station,76.75,-65.39
Mile 20,76.4328,-67.0961
Mile 7,76.387,-67.8793
Thule Rampe,76.40871,-68.2521
profile_1.5m_from_crevasse,76.43164,-67.54949
1001.0,65.38763,-47.67299
2002.0,65.06724,-45.28704
3001.0,64.8498,-44.65324
3005.0,65.11869,-44.19776
3007.0,65.01414,-44.64322
Koch 1912-13 winter camp,76.69351,-22.32248
