,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,ERA_distance,ERA_lat,ERA_lon,ERA_i,ERA_j
0,1954-06-03 00:00:00,1-0,76.72333333333333,-65.39,1310.0,10.0,65.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,200.98004792185458,76.72920562768935,-65.38617041087623,198.0,347.0
1,1954-06-15 00:00:00,1-10,76.80333333333333,-64.88666666666667,1418.0,10.0,40.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,200.34474549077848,76.77278759810578,-64.8674683979043,198.0,350.0
2,1954-06-16 00:00:00,1-20,76.89,-64.395,1486.0,10.0,33.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,199.79087592550616,76.85512452650765,-64.4068379841781,197.0,353.0
3,1954-06-17 00:00:00,1-30,76.96666666666667,-63.89,1519.0,10.0,25.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,199.21579605740519,76.93662127750179,-63.94038119946647,196.0,356.0
4,1954-06-18 00:00:00,1-40,77.055,-63.38,1570.0,10.0,23.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,198.594124827584,77.07068095318945,-63.34881987616792,194.0,360.0
5,1954-06-19 00:00:00,1-50,77.14833333333333,-62.885,1630.0,10.0,23.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,198.0262336152835,77.15022938377403,-62.867821917725536,193.0,363.0
6,1955-01-01 00:00:00,1a-10,77.02166666666666,-66.36666666666666,1720.0,10.0,35.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,202.77926956350254,77.05430134601883,-66.33055026426148,189.0,345.0
7,1955-01-01 00:00:00,1a-20,76.92,-62.0,1660.0,10.0,45.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,196.47408205144288,76.94636402592843,-61.98994507928975,199.0,366.0
8,1954-06-21 00:00:00,2-0,77.23833333333333,-62.32833333333333,1704.0,10.0,21.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,197.3387473075486,77.18854816016523,-62.3239143099373,193.0,366.0
9,1954-06-25 00:00:00,2-10,77.23,-61.626666666666665,1788.0,10.0,25.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,196.35520628603533,77.23784995751943,-61.59367614482276,193.0,370.0
10,1954-06-26 00:00:00,2-20,77.21833333333333,-61.025,1834.0,10.0,30.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,195.49076076513458,77.23285217411774,-60.98949515959571,194.0,373.0
11,1954-06-29 00:00:00,2-30,77.18333333333334,-60.39333333333333,1887.0,10.0,38.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,194.58799133192682,77.22644725586079,-60.385857843965084,195.0,376.0
12,1954-07-04 00:00:00,2-40,77.17666666666666,-59.73833333333333,1885.0,10.0,40.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1954,193.6250074017889,77.17777730697144,-59.734334127552316,197.0,379.0
