,Unnamed: 0,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,geometry,MAR_distance,MAR_lat,MAR_lon,MAR_i,MAR_j,MAR_elevation,MAR_10m_temp
0,0,1954-06-03 00:00:00,1-0,76.72333333333333,-65.39,1310.0,10.0,-17.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-65.39 76.72333333333333),200.99796384251286,76.62505340576172,-65.51557159423828,133.0,9.0,1121.6275634765625,-1.574615478515625
1,1,1954-06-15 00:00:00,1-10,76.80333333333333,-64.88666666666667,1418.0,10.0,-19.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-64.88666666666667 76.80333333333333),200.33951813443264,76.67233276367188,-64.96045684814453,133.0,10.0,1299.0845947265625,-0.267669677734375
2,2,1954-06-16 00:00:00,1-20,76.89,-64.395,1486.0,10.0,-20.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-64.395 76.89),199.69037032203383,76.71836853027344,-64.40140533447266,133.0,11.0,1391.7374267578125,-8.210235595703125
3,3,1954-06-17 00:00:00,1-30,76.96666666666667,-63.89,1519.0,10.0,-20.9,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-63.89 76.96666666666667),199.25018254629603,76.8924560546875,-64.0331039428711,134.0,12.0,1539.71630859375,-17.697433471679688
4,4,1954-06-18 00:00:00,1-40,77.055,-63.38,1570.0,10.0,-21.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-63.38 77.05500000000001),198.5788144270757,76.93640899658203,-63.46137237548828,134.0,13.0,1617.05322265625,-19.810516357421875
5,5,1954-06-19 00:00:00,1-50,77.14833333333333,-62.885,1630.0,10.0,-23.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-62.885 77.14833333333333),197.91795016403873,76.97905731201172,-62.885807037353516,134.0,14.0,1679.1881103515625,-20.9898681640625
6,6,1955-01-01 00:00:00,1a-10,77.02166666666666,-66.36666666666666,1720.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-66.36666666666666 77.02166666666666),202.86956836535887,77.1358642578125,-66.37667846679688,137.0,9.0,481.37841796875,-26.489273071289062
7,7,1955-01-01 00:00:00,1a-20,76.92,-62.0,1660.0,10.0,-22.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-62 76.92),196.53116236213032,76.88978576660156,-62.12720489501953,133.0,15.0,1635.4757080078125,-18.875991821289062
8,8,1954-06-21 00:00:00,2-0,77.23833333333333,-62.32833333333333,1704.0,10.0,-23.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-62.32833333333333 77.23833333333333),197.4292532775979,77.15092468261719,-62.48942565917969,135.0,15.0,1716.1632080078125,-21.1375732421875
9,9,1954-06-25 00:00:00,2-10,77.23,-61.62666666666666,1788.0,10.0,-23.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-61.62666666666666 77.23),196.36571278615915,77.36175537109375,-61.4844970703125,136.0,17.0,1842.0047607421875,-26.673828125
10,10,1954-06-26 00:00:00,2-20,77.21833333333333,-61.025,1834.0,10.0,-23.9,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-61.025 77.21833333333333),195.50048789938154,77.09911346435547,-61.136898040771484,134.0,17.0,1846.2664794921875,-22.154220581054688
11,11,1954-06-29 00:00:00,2-30,77.18333333333334,-60.39333333333333,1887.0,10.0,-24.2,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-60.39333333333333 77.18333333333334),194.63822711664864,77.1364517211914,-60.54682922363281,134.0,18.0,1883.9261474609375,-24.466033935546875
12,12,1954-07-04 00:00:00,2-40,77.17666666666666,-59.73833333333333,1885.0,10.0,-23.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-59.73833333333333 77.17666666666666),193.57143299852527,77.04024505615234,-59.7960319519043,133.0,19.0,1839.237060546875,-22.78070068359375
13,13,1954-07-09 00:00:00,2-50,77.15,-69.08333333333333,1877.0,10.0,-23.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-69.08333333333333 77.15000000000001),206.85144289594925,77.17658233642578,-69.12220001220703,139.0,5.0,474.4895935058594,-17.150283813476562
14,14,1954-07-11 00:00:00,2-60,77.135,-58.44166666666667,1905.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-58.44166666666667 77.13500000000001),191.63953158486015,76.9743881225586,-58.46810531616211,132.0,21.0,1865.9462890625,-22.902328491210938
15,15,1954-07-16 00:00:00,2-70,77.10166666666667,-57.82833333333333,1919.0,10.0,-23.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-57.82833333333333 77.10166666666667),190.78616497063965,77.00556182861328,-57.87678146362305,132.0,22.0,1915.6044921875,-24.321121215820312
16,16,1954-07-19 00:00:00,2-80,77.065,-57.215,1944.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-57.215 77.065),189.92747754320214,77.03533935546875,-57.282657623291016,132.0,23.0,1967.0191650390625,-26.673065185546875
