,Unnamed: 0,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,geometry,RACMO_distance,RACMO_lat,RACMO_lon,RACMO_i,RACMO_j,RACMO_elevation,RACMO_10m_temp
0,0,1954-06-03 00:00:00,1-0,76.72333333333333,-65.39,1310.0,10.0,-17.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-65.39 76.72333333333333),201.00395449418033,76.7394790649414,-65.40970611572266,412.0,77.0,1.0,-20.551153564453102
1,1,1954-06-15 00:00:00,1-10,76.80333333333333,-64.88666666666667,1418.0,10.0,-19.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-64.88666666666667 76.80333333333333),200.4383418035666,76.85051727294922,-64.92210388183594,413.0,80.0,1.0,-21.14299621582029
2,2,1954-06-16 00:00:00,1-20,76.89,-64.395,1486.0,10.0,-20.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-64.395 76.89),199.80506420326117,76.84898376464844,-64.43303680419922,412.0,82.0,1.0,-21.569464111328102
3,3,1954-06-17 00:00:00,1-30,76.96666666666667,-63.89,1519.0,10.0,-20.9,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-63.89 76.96666666666667),199.22623583404854,76.95819854736328,-63.93357467651367,413.0,85.0,1.0,-21.62932434082029
4,4,1954-06-18 00:00:00,1-40,77.055,-63.38,1570.0,10.0,-21.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-63.38 77.05500000000001),198.64575278349446,77.06645965576172,-63.426055908203125,414.0,88.0,1.0,-21.811346435546852
5,5,1954-06-19 00:00:00,1-50,77.14833333333333,-62.885,1630.0,10.0,-23.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-62.885 77.14833333333333),198.07294659089786,77.17375946044922,-62.91035461425781,415.0,91.0,1.0,-22.257696533203102
6,6,1955-01-01 00:00:00,1a-10,77.02166666666666,-66.36666666666666,1720.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-66.36666666666666 77.02166666666666),202.7436622915035,77.02865600585938,-66.30583953857422,419.0,76.0,0.0,
7,7,1955-01-01 00:00:00,1a-20,76.92,-62.0,1660.0,10.0,-22.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-62 76.92),196.4507603613015,76.93933868408203,-61.963985443115234,409.0,93.0,1.0,-22.273504638671852
8,8,1954-06-21 00:00:00,2-0,77.23833333333333,-62.32833333333333,1704.0,10.0,-23.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-62.32833333333333 77.23833333333333),197.35078706033357,77.23428344726562,-62.29520797729492,415.0,94.0,1.0,-23.002935791015602
9,9,1954-06-25 00:00:00,2-10,77.23,-61.626666666666665,1788.0,10.0,-23.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-61.62666666666667 77.23),196.35630208414247,77.24739074707031,-61.5856819152832,414.0,97.0,1.0,-23.692358398437477
